Tag,z,μ,μ error
04D3ez,0.263,40.63994777,0.123324516
04D3cy,0.643,43.01203017,0.16128556
04D2iu,0.691,43.14071757,0.170861513
04D2fs,0.357,41.35886951,0.129068538
04D1aj,0.721,43.12855939,0.185537804
03D4gf,0.581,42.7918076,0.147505707
03D4dh,0.6268,42.70733842,0.145364366
03D4cn,0.818,43.57313686,0.562299153
03D3aw,0.449,41.90458459,0.150334954
03D1fl,0.688,43.04467927,0.179014967
03D1cm,0.87,44.08284302,0.496674095
03D1au,0.5043,42.30458562,0.141778819
b010,0.591,43.31387146,0.267379474
b013,0.426,41.80666657,0.204450458
b016,0.329,41.37577399,0.253274554
d033,0.531,43.06296351,0.301071564
d058,0.583,42.59933968,0.461245287
d084,0.519,43.0898571,0.385243881
d085,0.401,41.62141426,0.259723821
d087,0.34,41.10029847,0.223307417
d089,0.436,41.83554619,0.219396209
d093,0.363,41.39917905,0.206870861
d097,0.436,41.91860818,0.214365467
d117,0.309,41.28546348,0.206042643
d149,0.342,41.33356029,0.201740702
e029,0.332,41.24285705,0.223960203
e108,0.469,42.08694311,0.219485297
e132,0.239,40.46636054,0.193168327
e136,0.352,41.44020075,0.222632458
e138,0.612,42.26013789,0.819156756
e140,0.631,42.56652394,0.270098724
e147,0.645,42.8315317,0.2280355
e148,0.429,41.83216198,0.21793609
e149,0.497,42.09007716,0.230564547
f011,0.539,42.36213614,0.235072096
f041,0.561,42.59881241,0.254763513
f076,0.41,41.34809273,0.217232818
f096,0.412,41.77580223,0.294945705
f216,0.599,42.85447608,0.290620357
f231,0.619,42.92469684,0.246627072
f235,0.422,41.66786027,0.238231296
f244,0.54,42.56562854,0.254777678
f308,0.401,42.07281334,0.312075795
g005,0.218,40.31794351,0.198433229
g050,0.633,42.22564864,0.296301031
g052,0.383,41.59255627,0.228094106
g055,0.302,41.566017,0.259288153
g097,0.34,41.14387644,0.19996445
g120,0.51,41.91882024,0.25830949
g133,0.421,41.96576291,0.228780937
g142,0.399,41.70875064,0.283764079
g160,0.493,42.122916,0.229109807
g240,0.687,42.83221702,0.279368497
h283,0.502,41.89925282,0.313490292
h300,0.687,42.8216813,0.250279753
h319,0.495,42.20216398,0.245006207
h323,0.603,42.63541606,0.273892148
h342,0.421,42.04438129,0.280749747
h359,0.348,41.54946903,0.204875174
h363,0.213,40.33999308,0.20464694
h364,0.344,41.06796836,0.20021076
k396,0.271,40.5536369,0.20646523
k411,0.564,42.3759757,0.400947441
k425,0.274,40.77404697,0.216212349
k430,0.582,43.213715,0.278992593
k441,0.68,42.83189586,0.247902598
k448,0.401,41.93013298,0.235368496
k485,0.416,41.75218886,0.295167259
m027,0.286,41.38742772,0.334584228
m062,0.314,41.02090484,0.287974295
m138,0.581,43.59947102,0.377088904
m158,0.463,41.95460092,0.265451577
m193,0.341,41.09204972,0.209704216
m226,0.671,42.19360255,0.331542576
n256,0.631,42.92610554,0.232187948
n258,0.522,42.66902981,0.304891268
n263,0.368,41.40665633,0.204741881
n278,0.309,40.85072976,0.20772583
n285,0.528,42.47874409,0.305372523
n326,0.268,40.76954526,0.197555927
p454,0.695,42.92074002,0.413583311
p455,0.284,40.78498232,0.199874465
p524,0.508,42.13755164,0.212951542
p528,0.781,43.38255291,0.3411397
p534,0.613,42.43028872,0.33309885
